Population (Millions of people),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,147,147.569,148.04,148.322,148.436,148.416,148.293,148.078,147.773,147.385,146.924,146.401,145.818,145.196,144.583,144.044,143.618,143.323,143.15,143.083,143.093,143.154,143.264,143.421,143.597,143.761,143.888,143.965,143.99,143.965,143.896,143.787,143.637,143.442,143.204,142.924
Rwanda,4.654,4.825,5.006,5.195,5.321,5.502,5.691,5.89,6.097,6.304,6.453,6.652,6.656,6.247,5.79,5.468,5.406,5.66,6.176,6.843,7.495,8.013,8.361,8.578,8.711,8.833,9,9.2,9.5,9.7,10,10.2,10.5,10.739,11.003,11.263,11.533,11.811,12.019,12.302,12.589,12.88,13.175,13.475,13.778
Saint Kitts and Nevis,0.043,0.043,0.043,0.043,0.042,0.042,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.042,0.042,0.043,0.043,0.044,0.044,0.045,0.045,0.046,0.047,0.047,0.048,0.049,0.049,0.05,0.05,0.051,0.051,0.052,0.053,0.053,0.054,0.054,0.055,0.055,0.056,0.057,0.057,0.058,0.058,0.059,0.059
Saint Lucia,0.116,0.118,0.12,0.121,0.123,0.125,0.127,0.129,0.13,0.133,0.134,0.136,0.138,0.139,0.142,0.145,0.147,0.15,0.152,0.154,0.156,0.158,0.159,0.161,0.162,0.164,0.166,0.168,0.17,0.165,0.166,0.167,0.169,0.171,0.172,0.173,0.174,0.176,0.177,0.178,0.179,0.18,0.181,0.182,0.183
Saint Vincent and the Grenadines,0.098,0.099,0.1,0.101,0.102,0.102,0.103,0.104,0.104,0.105,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.107,0.107,0.108,0.108,0.109,0.109,0.109,0.109,0.109,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.111,0.111,0.111,0.111,0.111
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.173,0.174,0.175,0.176,0.177,0.178,0.179,0.18,0.181,0.182,0.184,0.185,0.186,0.188,0.189,0.191,0.192,0.194,0.196,0.198,0.199,0.201,0.203,0.205,0.206,0.208,0.21
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.03,0.03,0.031,0.031,0.032,0.032,0.032,0.033,0.033,0.033,0.033,0.033,0.034,0.034,0.034,0.034,0.034,0.034
Saudi Arabia,9.32,9.786,10.276,10.79,11.33,11.897,12.492,13.118,13.774,14.463,15.187,15.947,16.948,17.277,17.701,18.136,18.581,19.037,19.504,19.983,20.474,20.976,21.491,22.02,22.564,23.33,24.122,24.941,25.787,26.661,27.563,28.376,29.196,29.994,30.77,31.016,31.743,32.552,33.203,33.867,34.545,35.236,35.94,36.659,37.392
Senegal,5.676,5.831,5.996,6.17,6.353,6.544,6.744,6.952,7.166,7.382,7.599,7.814,8.03,8.272,8.512,8.747,8.974,9.197,9.418,9.646,9.884,10.134,10.397,10.671,10.956,11.251,11.557,11.874,12.204,12.551,12.916,13.301,13.704,14.12,14.546,14.977,15.412,15.851,16.302,16.766,17.244,17.735,18.24,18.76,19.294
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.597,7.568,7.54,7.516,7.503,7.5,7.481,7.463,7.441,7.412,7.382,7.35,7.321,7.291,7.237,7.201,7.167,7.132,7.095,7.058,7.021,6.993,6.965,6.937,6.909,6.882,6.854,6.895
Seychelles,0.063,0.064,0.064,0.064,0.065,0.065,0.066,0.068,0.069,0.069,0.07,0.07,0.071,0.072,0.074,0.075,0.076,0.077,0.079,0.08,0.081,0.081,0.083,0.083,0.082,0.083,0.085,0.085,0.087,0.087,0.09,0.087,0.088,0.09,0.091,0.093,0.094,0.094,0.095,0.096,0.097,0.098,0.099,0.1,0.101
Sierra Leone,3.469,3.554,3.628,3.714,3.735,3.809,3.894,3.98,4.065,4.16,4.221,4.246,4.24,4.216,4.193,4.185,4.192,4.214,4.261,4.343,4.465,4.633,4.841,5.072,5.301,5.51,5.693,5.853,5.997,6.136,6.279,6.426,6.574,6.724,6.939,7.092,7.248,7.408,7.571,7.737,7.907,8.081,8.259,8.441,8.626
Singapore,2.414,2.533,2.646,2.681,2.732,2.736,2.733,2.775,2.846,2.931,3.047,3.135,3.231,3.313,3.419,3.525,3.671,3.796,3.927,3.959,4.028,4.138,4.176,4.115,4.167,4.266,4.401,4.589,4.839,4.988,5.077,5.184,5.312,5.399,5.47,5.535,5.607,5.612,5.639,5.681,5.722,5.764,5.807,5.85,5.893
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.337,5.367,5.397,5.408,5.379,5.388,5.393,5.399,5.379,5.379,5.375,5.372,5.373,5.373,5.373,5.376,5.382,5.39,5.392,5.404,5.411,5.416,5.421,5.426,5.435,5.443,5.451,5.459,5.467,5.474,5.482,5.49
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.999,1.989,1.989,1.989,1.99,1.987,1.985,1.978,1.988,1.99,1.994,1.995,1.996,1.998,2.003,2.01,2.01,2.032,2.047,2.05,2.055,2.059,2.061,2.063,2.064,2.066,2.068,2.069,2.071,2.073,2.074,2.076,2.078
Solomon Islands,0.231,0.238,0.247,0.255,0.263,0.271,0.279,0.287,0.295,0.303,0.312,0.321,0.33,0.339,0.349,0.359,0.369,0.38,0.39,0.401,0.412,0.424,0.435,0.446,0.458,0.469,0.481,0.492,0.504,0.515,0.526,0.538,0.55,0.562,0.575,0.588,0.601,0.614,0.627,0.641,0.655,0.67,0.684,0.699,0.715
South Africa,29.08,29.83,30.61,31.41,32.21,32.98,33.73,34.46,35.2,35.97,36.79,37.69,38.65,39.62,40.56,41.43,42.21,42.92,43.58,44.23,44.9,45.58,45.921,46.461,47.021,47.602,48.205,48.83,49.479,50.152,50.85,51.574,52.325,53.104,53.912,54.75,55.62,56.522,57.726,58.643,59.575,60.522,61.484,62.461,63.453
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.449,10.818,11.177,11.531,11.882,12.231,12.585,12.976,13.378,13.793,14.22,14.661,15.115,15.886
Spain,37.656,38.014,38.217,38.397,38.55,38.686,38.798,38.888,38.971,39.048,39.117,39.221,39.35,39.473,39.579,39.672,39.764,39.869,40.008,40.215,40.554,40.766,41.424,42.196,42.859,43.663,44.361,45.236,45.983,46.368,46.562,46.736,46.766,46.593,46.455,46.41,46.399,46.408,46.449,46.656,46.866,47.077,47.28,47.473,47.655
Sri Lanka,15.557,15.767,15.965,16.152,16.325,16.486,16.649,16.815,16.984,17.155,17.33,17.54,17.741,17.929,18.098,18.247,18.372,18.477,18.571,18.669,18.782,18.913,19.059,19.215,19.373,19.525,19.67,19.811,19.946,20.075,20.198,20.315,20.425,20.585,20.771,20.966,21.203,21.444,21.688,21.934,22.184,22.436,22.691,22.949,23.209
Sudan,18.68,19.24,19.8,20.36,21.311,21.908,22.521,23.152,23.6,24.2,25.75,26.53,27.32,28.13,28.95,27.95,28.6,29.2,29.8,30.4,31.1,31.9,32.7,33.6,34.474,35.3,36.218,37.159,38.126,39.117,40.134,32.661,35.056,36.164,37.289,38.435,39.599,40.783,41.985,43.222,44.345,45.498,46.681,47.895,49.14
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.408,0.414,0.419,0.426,0.431,0.437,0.442,0.449,0.454,0.461,0.467,0.474,0.479,0.484,0.493,0.499,0.504,0.51,0.517,0.524,0.531,0.54,0.542,0.55,0.559,0.567,0.576,0.583,0.591,0.598,0.605,0.613,0.62,0.627,0.635
Sweden,8.318,8.323,8.327,8.331,8.343,8.358,8.382,8.414,8.459,8.527,8.591,8.644,8.692,8.745,8.816,8.837,8.844,8.848,8.854,8.861,8.883,8.909,8.941,8.976,9.011,9.048,9.113,9.183,9.256,9.341,9.416,9.483,9.556,9.645,9.747,9.851,9.995,10.12,10.23,10.322,10.421,10.52,10.612,10.7,10.782
Switzerland,6.304,6.335,6.373,6.41,6.428,6.456,6.485,6.523,6.567,6.62,6.674,6.757,6.843,6.908,6.969,7.019,7.062,7.081,7.096,7.124,7.164,7.198,7.256,7.314,7.364,7.415,7.459,7.509,7.593,7.702,7.786,7.87,7.955,8.039,8.14,8.238,8.327,8.42,8.484,8.586,8.688,8.792,8.898,9.004,9.112
Syria,9.129,9.444,9.758,10.084,10.419,10.776,11.133,11.511,11.899,12.298,12.721,13.102,13.484,13.865,14.241,14.61,14.973,15.334,15.702,16.091,16.511,16.961,17.438,17.952,18.512,19.121,19.596,20.083,20.581,21.092,21.393,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.089,0.09,0.092,0.095,0.097,0.099,0.102,0.105,0.108,0.111,0.114,0.118,0.121,0.123,0.125,0.127,0.13,0.132,0.135,0.137,0.139,0.142,0.144,0.147,0.151,0.155,0.159,0.163,0.168,0.173,0.178,0.183,0.188,0.193,0.198,0.203,0.208,0.213,0.217,0.222,0.227,0.232,0.237,0.242,0.247
Taiwan Province of China,17.866,18.194,18.516,18.791,19.069,19.314,19.509,19.725,19.954,20.157,20.401,20.606,20.803,20.995,21.178,21.357,21.525,21.743,21.929,22.092,22.277,22.406,22.521,22.605,22.689,22.77,22.877,22.958,23.037,23.12,23.162,23.225,23.316,23.374,23.434,23.492,23.54,23.571,23.603,23.634,23.666,23.697,23.729,23.761,23.792
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.506,5.536,5.573,5.607,5.668,5.735,5.822,5.939,6.115,6.216,6.327,6.448,6.577,6.713,6.854,7.001,7.152,7.31,7.473,7.642,7.816,7.995,8.178,8.363,8.549,8.735,8.921,9.107,9.292,9.475,9.657,9.836,10.013,10.188
Tanzania,18.612,19.172,19.732,20.292,20.852,21.412,21.972,22.532,23.095,23.906,24.716,25.527,26.337,27.148,27.959,28.769,29.58,30.391,31.201,32.012,32.822,33.633,34.444,35.492,36.541,37.589,38.638,39.686,40.735,41.783,42.832,43.88,44.929,45.828,46.744,47.679,48.677,50.045,51.046,52.067,53.108,54.17,55.254,56.359,57.486
Thailand,46.5,47.88,48.85,49.52,50.58,51.8,52.97,53.87,54.96,55.29,56.303,56.961,57.06,57.69,58.32,58.95,59.6,60.25,60.9,61.57,62.24,62.6,62.96,63.32,63.69,64.05,64.42,64.79,65.17,65.54,65.92,66.21,66.49,66.76,67,67.24,67.46,67.65,67.793,67.913,68.016,68.101,68.169,68.222,68.26
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.823,0.897,0.909,0.922,0.936,0.952,0.97,0.989,1.01,1.034,1.046,1.057,1.078,1.102,1.129,1.158,1.185,1.212,1.24,1.269,1.299,1.329,1.359,1.389,1.42,1.452
Togo,2.657,2.746,2.846,2.949,3.055,3.161,3.267,3.373,3.476,3.574,3.666,3.748,3.823,3.898,3.983,4.085,4.209,4.349,4.5,4.651,4.794,4.926,5.051,5.17,5.288,5.408,5.53,5.997,6.162,6.33,6.503,6.679,6.859,7.043,7.229,7.417,7.606,7.798,7.994,8.195,8.401,8.612,8.829,9.051,9.279
Tonga,0.092,0.092,0.093,0.094,0.095,0.094,0.094,0.094,0.094,0.095,0.095,0.096,0.096,0.097,0.097,0.097,0.097,0.098,0.098,0.099,0.099,0.1,0.1,0.101,0.101,0.101,0.102,0.102,0.102,0.103,0.103,0.103,0.103,0.104,0.104,0.103,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101
Trinidad and Tobago,1.085,1.103,1.121,1.139,1.156,1.171,1.184,1.195,1.205,1.214,1.222,1.23,1.237,1.244,1.25,1.255,1.258,1.261,1.263,1.265,1.268,1.272,1.278,1.284,1.291,1.297,1.303,1.309,1.315,1.322,1.328,1.335,1.342,1.348,1.354,1.36,1.365,1.369,1.375,1.381,1.388,1.394,1.4,1.406,1.411
Tunisia,6.451,6.633,6.795,6.956,7.037,7.269,7.552,7.713,7.845,7.986,8.233,8.418,8.603,8.785,8.957,9.114,9.256,9.384,9.499,9.604,9.699,9.786,9.864,9.94,10.018,10.102,10.196,10.298,10.407,10.522,10.64,10.761,10.887,11.015,11.144,11.274,11.403,11.532,11.659,11.783,11.903,12.019,12.129,12.235,12.336
Turkey,45.272,46.314,47.382,48.461,49.532,50.582,51.606,52.607,53.588,54.554,55.511,56.457,57.394,58.328,59.259,60.184,61.106,62.023,62.912,63.818,64.73,65.603,66.402,67.187,68.01,68.861,69.73,70.586,71.517,72.561,73.723,74.724,75.627,76.668,77.696,78.741,79.815,80.811,82.004,83.023,84.04,85.048,86.055,87.051,88.031
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.975,4.015,4.119,4.212,4.293,4.361,4.421,4.475,4.528,4.578,4.627,4.675,4.724,4.775,4.83,4.887,4.946,5.008,5.087,5.174,5.268,5.366,5.466,5.565,5.642,5.71,5.77,5.972,6.031,6.091,6.152,6.214,6.276
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Uganda,11.264,11.607,11.962,12.335,12.734,13.169,13.641,14.147,14.679,15.227,15.782,16.343,16.873,17.447,18.021,18.595,19.214,19.832,20.45,21.113,21.82,22.526,23.277,24.116,24.956,25.795,26.678,27.606,28.578,29.549,30.521,31.537,32.548,33.51,34.477,35.492,36.561,37.674,38.823,40.007,41.222,42.46,43.734,45.046,46.398
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.624,51.708,51.87,51.715,51.3,50.874,50.4,49.974,49.545,49.115,48.664,48.241,47.823,47.442,47.101,46.749,46.466,46.192,45.963,45.783,45.598,45.453,45.373,45.246,42.76,42.591,42.415,42.217,42.047,41.878,41.711,41.544,41.378,41.212,41.047
United Arab Emirates,1.01,1.1,1.17,1.21,1.31,1.38,1.44,1.5,1.79,1.86,1.844,1.928,2.011,2.083,2.23,2.411,2.443,2.58,2.834,3.033,2.995,3.167,3.349,3.551,3.761,4.106,5.012,6.219,8.074,8.2,8.264,8.512,8.768,9.031,9.302,9.581,9.856,10.139,10.43,10.749,11.077,11.416,11.765,12.125,12.496
United Kingdom,56.33,56.358,56.291,56.316,56.409,56.554,56.684,56.804,56.916,57.077,57.238,57.439,57.585,57.714,57.862,58.025,58.164,58.314,58.475,58.684,58.886,59.113,59.366,59.637,59.95,60.413,60.827,61.319,61.824,62.261,62.76,63.285,63.705,64.106,64.597,65.11,65.648,66.04,66.466,66.867,67.255,67.612,67.949,68.266,68.572
United States,227.622,229.916,232.128,234.247,236.307,238.416,240.593,242.751,244.968,247.286,250.047,253.392,256.777,260.146,263.325,266.458,269.581,272.822,276.022,279.195,282.296,285.216,288.019,290.733,293.389,296.115,298.93,301.903,304.718,307.374,309.737,311.941,314.163,316.329,318.619,320.93,323.225,325.326,327.352,329.559,331.811,334.079,336.362,338.661,340.976
Uruguay,2.939,2.959,2.978,2.997,3.016,3.035,3.053,3.07,3.088,3.105,3.122,3.14,3.159,3.178,3.208,3.228,3.248,3.286,3.312,3.336,3.349,3.351,3.347,3.338,3.341,3.352,3.358,3.359,3.363,3.378,3.397,3.413,3.426,3.44,3.454,3.467,3.48,3.493,3.506,3.519,3.531,3.543,3.555,3.567,3.578
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.36,21.853,22.282,22.69,23.13,23.867,24.231,24.583,24.488,24.813,25.116,25.428,25.707,26.021,26.313,26.664,27.072,27.533,28.001,29.123,29.555,29.994,30.493,31.023,31.575,32.121,32.657,33.169,33.657,34.117,34.551,34.955,35.328
Vanuatu,0.115,0.119,0.123,0.126,0.13,0.135,0.139,0.141,0.145,0.146,0.148,0.151,0.154,0.157,0.164,0.169,0.173,0.177,0.182,0.187,0.191,0.195,0.2,0.204,0.209,0.214,0.219,0.224,0.229,0.234,0.24,0.245,0.251,0.257,0.263,0.269,0.272,0.279,0.285,0.292,0.298,0.305,0.312,0.319,0.327
Venezuela,14.952,15.41,15.868,16.316,16.773,17.241,17.45,17.888,18.336,18.784,19.411,19.879,20.347,20.815,21.283,21.751,22.219,22.676,23.13,23.593,24.394,24.803,25.212,25.622,26.033,26.445,26.858,27.273,27.689,28.106,28.524,28.944,29.365,29.786,30.206,30.62,30.714,30.491,29.187,28.067,27.131,27.131,27.131,27.131,27.131
Vietnam,54.18,55.31,56.4,57.47,58.57,59.71,60.92,62.3,63.5,64.774,66.017,67.242,68.45,69.645,70.825,71.996,73.157,74.307,75.456,76.597,77.635,78.686,79.727,80.899,82.032,82.392,83.311,84.219,85.119,86.025,86.933,87.84,88.809,89.76,90.728,91.713,92.691,93.643,94.575,95.494,96.407,97.312,98.205,99.077,99.919
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.086,12.66,13.289,13.948,14.6,15.219,15.796,16.339,16.863,17.39,17.937,18.506,19.094,19.702,20.329,20.975,21.622,22.29,22.978,23.687,24.398,25.13,25.884,26.66,27.46,28.284,29.132,29.977,30.816,31.648,32.471,33.283,34.082,34.866,35.633
Zambia,5.907,6.101,6.297,6.495,6.695,6.897,7.104,7.317,7.538,7.769,8.013,8.259,8.505,8.751,9.018,9.254,9.502,9.764,10.034,10.309,10.585,10.861,11.14,11.426,11.726,12.044,12.382,12.739,13.115,13.508,13.917,14.344,14.787,15.246,15.721,16.212,16.717,17.238,17.773,18.321,18.882,19.456,20.043,20.643,21.259
Zimbabwe,7.092,7.3,7.606,7.849,8.099,8.385,8.648,8.919,9.199,9.488,9.786,10.093,10.41,10.776,11.147,11.523,11.905,11.786,11.756,11.724,11.693,11.663,11.632,11.64,11.73,11.83,12.01,12.04,12.12,12.23,12.34,12.459,13.061,13.43,13.778,14.135,14.501,14.877,15.263,15.658,16.064,16.481,16.908,17.346,17.796
Africa (Region),447.886,460.505,473.81,487.49,502.004,517.667,532.416,547.213,562.214,579.383,603.234,620.202,640.75,658.483,675.719,691.654,709.147,726.286,744.021,762.257,782.733,802.578,823.875,848.957,871.883,895.423,918.097,941.377,964.716,988.51,1013.365,1039.944,1068.036,1094.724,1121.764,1149.646,1177.158,1209.114,1238.712,1268.967,1299.745,1331.096,1363.438,1396.51,1431.725
Asia and Pacific,2433.783,2477.687,2524.581,2568.924,2614.185,2661.409,2710.492,2761.392,2811.855,2861.317,2917.37,2975.04,3078.122,3126.97,3173.612,3220.919,3269.172,3315.868,3406.875,3452.04,3495.091,3559.529,3601.783,3643.944,3685.042,3725.16,3764.862,3804.478,3847.061,3886.961,3927.302,3969.731,4011.15,4052.018,4093.207,4134.459,4176.821,4218.051,4256.921,4296.034,4334.892,4373.566,4412.003,4447.404,4483.116
Australia and New Zealand,17.928,18.182,18.456,18.681,18.907,19.162,19.43,19.715,20.038,20.322,20.595,20.895,21.109,21.317,21.542,21.826,22.092,22.313,22.535,22.77,23.014,23.303,23.595,23.889,24.16,24.473,24.837,25.262,25.756,26.198,26.546,26.922,27.354,27.774,28.195,28.632,29.137,29.619,30.097,30.58,31.062,31.544,32.025,32.506,33
Caribbean,15.663,16.037,16.344,16.666,16.956,17.276,17.589,17.901,18.169,18.478,18.815,19.103,19.412,19.736,20.068,20.463,20.777,21.089,21.404,21.711,22.016,22.313,22.606,22.902,23.193,23.482,23.763,24.041,24.321,24.589,24.861,25.137,25.413,25.691,25.961,26.227,26.489,26.746,27.011,27.275,27.539,27.803,28.067,28.33,28.592
Central America,no data,no data,no data,no data,no data,no data,no data,no data,24.035,24.603,25.183,25.756,26.328,26.924,32.06,32.773,33.476,34.181,34.881,35.585,36.173,36.942,37.636,38.332,39.034,39.737,40.456,41.155,41.858,42.563,43.295,44.016,44.745,45.477,46.211,46.948,47.69,48.441,49.202,49.975,50.76,51.583,52.421,53.274,54.141
Central Asia and the Caucasus,45.272,46.314,47.382,48.461,49.532,50.582,51.606,52.607,53.588,54.554,59.021,70.926,126.12,127.377,127.409,128.631,129.875,131.344,132.54,134.009,134.978,157.582,159.908,162.283,164.701,167.155,169.59,172.295,175.077,177.922,180.938,184.624,187.66,190.93,194.268,197.609,200.915,204.081,207.043,209.956,212.699,215.492,218.263,220.994,223.692
East Asia,1164.905,1180.477,1198.13,1213.44,1228.565,1244.969,1262.843,1282.014,1300.505,1318.441,1337.915,1354.051,1368.731,1383.365,1397.814,1411.66,1425.401,1438.8,1451.106,1462.167,1472.661,1482.341,1491.287,1499.661,1507.705,1515.656,1523.029,1530.248,1537.434,1544.191,1551.034,1558.264,1565.146,1571.996,1579.369,1586.472,1594.953,1602.442,1607.861,1612.717,1616.931,1620.531,1623.538,1623.179,1622.791
Eastern Europe ,80.198,80.728,81.238,81.903,82.359,82.765,83.134,83.456,83.603,232.283,299.534,300.354,310.926,315.937,315.163,328.071,330.87,337.424,336.204,335.086,334.077,332.481,330.581,329.148,328.035,326.851,325.895,325.097,324.176,323.72,323.119,322.483,322.216,321.997,319.349,319.042,318.607,318.125,317.611,317.163,316.67,316.127,315.53,314.879,314.242
Europe,445.493,447.388,448.64,449.865,450.744,451.784,452.946,454.04,455.409,605.771,675.481,678.545,690.805,697.368,697.755,711.637,715.363,722.772,722.385,722.275,722.668,722.512,722.576,723.227,724.264,725.589,726.791,728.381,729.912,731.356,732.355,733.528,734.808,736.05,735.097,736.718,738.109,738.998,739.684,740.958,741.826,742.545,743.154,743.655,744.128
Middle East (Region),70.917,73.629,76.356,79.301,82.344,85.478,88.812,91.551,94.491,97.419,112.192,115.189,118.707,121.559,124.849,127.902,130.719,133.709,136.76,139.747,142.61,145.926,149.294,178.782,183.257,188.246,193.737,199.413,205.911,210.671,215.295,198.472,203.419,208.533,214.914,218.726,223.746,228.417,232.847,237.199,241.5,245.777,250.026,254.344,258.718
North Africa,88.091,90.649,93.237,95.843,98.448,101.503,104.248,106.749,109.597,112.182,113.042,115.478,117.938,120.403,122.845,125.208,127.623,129.889,132.235,134.559,137.439,139.848,142.2,144.591,147.033,149.51,152.055,154.578,157.498,160.461,163.569,166.481,170.043,173.656,176.987,180.683,183.311,189.354,192.954,196.586,200.245,203.927,207.631,211.359,216.198
North America,324.656,328.922,333.07,337.065,340.981,344.938,348.977,353.069,357.257,361.691,368.272,373.56,378.809,383.999,388.967,393.867,398.712,403.61,408.38,413.05,417.65,422.128,426.569,430.883,435.068,439.291,443.673,448.322,452.977,457.548,461.672,465.601,469.516,473.352,477.26,481.088,484.961,488.633,492.351,496.155,499.878,503.591,507.304,511.013,514.72
Pacific Islands ,4.091,4.199,4.298,4.399,4.498,4.603,4.692,4.657,4.771,4.947,5.124,5.261,5.587,5.714,5.851,5.991,6.133,6.277,6.595,6.742,6.889,7.04,7.192,7.347,7.505,7.664,7.826,7.99,8.155,8.321,8.692,9.079,9.487,9.675,9.864,10.052,10.243,10.442,10.643,10.848,11.057,11.27,11.488,11.71,11.937
South America,238.462,244.098,249.436,254.721,260.127,264.712,269.781,275.01,280.248,285.433,293.149,298.622,303.939,309.231,314.445,319.536,326.796,331.835,336.958,341.943,347.28,352.133,356.787,361.288,365.752,370.131,374.528,378.84,383.173,387.533,392.117,396.323,400.522,404.686,408.881,413.115,416.974,420.497,422.816,425.273,427.823,431.267,434.62,437.933,441.205
South Asia,879.401,899.118,919.934,940.79,962.206,983.714,1005.846,1028.564,1051.358,1074.188,1097.412,1119.516,1145.311,1170.44,1194.587,1218.747,1242.93,1267.598,1292.26,1316.367,1341.88,1366.155,1389.274,1412.91,1435.609,1458.031,1480.143,1501.953,1527.265,1549.519,1571.778,1594.066,1616.341,1638.603,1660.869,1683.393,1706.2,1729.255,1752.559,1776.185,1800.137,1824.42,1849.038,1873.996,1899.3
Southeast Asia,322.186,329.398,336.38,343.153,350.477,358.38,366.075,373.835,381.595,388.866,397.303,404.391,411.263,418.756,426.409,434.064,442.741,449.537,501.839,509.985,515.669,523.109,530.527,537.855,545.362,552.181,559.438,566.729,573.374,580.81,588.314,596.777,605.162,613.041,620.642,628.3,635.373,642.211,648.718,655.748,663.006,670.31,677.65,685.018,692.398
Sub-Saharan Africa (Region) ,359.794,369.856,380.573,391.648,403.556,416.164,428.168,440.464,452.617,467.201,490.192,504.725,522.813,538.08,552.874,566.446,581.524,596.397,611.785,627.698,645.294,662.73,681.675,704.366,724.85,745.912,766.042,786.799,807.218,828.049,849.796,873.463,897.993,921.069,944.778,968.963,993.847,1019.76,1045.757,1072.381,1099.5,1127.169,1155.807,1185.151,1215.527
Western Europe,365.295,366.66,367.402,367.961,368.385,369.019,369.813,370.584,371.805,373.488,375.948,378.191,379.879,381.431,382.592,383.566,384.494,385.349,386.181,387.189,388.591,390.031,391.996,394.079,396.228,398.738,400.896,403.284,405.736,407.636,409.236,411.045,412.592,414.054,415.749,417.675,419.501,420.873,422.073,423.795,425.156,426.418,427.623,428.776,429.885
Western Hemisphere (Region),598.811,609.558,619.817,629.887,639.98,649.346,659.289,669.461,679.709,690.204,705.419,717.041,728.488,739.889,755.541,766.639,779.76,790.716,801.623,812.29,823.119,833.516,843.598,853.404,863.047,872.641,882.419,892.359,902.33,912.233,921.945,931.076,940.196,949.206,958.313,967.378,976.114,984.317,991.38,998.679,1006,1014.245,1022.412,1030.55,1038.657
ASEAN-5,309.936,316.913,323.538,329.942,336.845,344.16,351.507,358.877,366.212,373.027,380.906,387.464,393.776,400.708,407.704,414.792,422.884,429.136,435.631,441.976,446.655,453.205,459.884,466.635,473.472,479.577,486.088,492.576,498.334,504.967,511.682,519.283,526.735,533.741,540.481,547.287,553.521,559.592,565.514,571.939,578.414,584.946,591.523,598.14,604.784
Advanced economies,822.707,829.009,834.581,839.656,844.377,849.184,854.088,859.02,864.546,872.204,879.515,887.338,899.083,911.212,917.407,937.322,943.208,949.005,954.679,960.288,966.443,972.802,978.934,984.923,990.824,997.069,1003.373,1010.14,1017.07,1023.016,1028.26,1033.85,1038.769,1043.477,1048.6,1053.971,1059.442,1063.94,1068.349,1073.372,1077.864,1082.21,1086.482,1090.669,1094.815
Commonwealth of Independent States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,282.825,283.12,281.779,281.471,281.057,280.816,280.253,279.893,278.938,278.393,277.84,277.443,277.18,277.088,277.228,277.586,278.422,279.31,280.224,281.949,283.154,284.394,283.358,284.645,285.873,286.999,288.032,289.149,290.059,290.963,291.803,292.571,293.281
Emerging and Developing Asia,2109.935,2148.146,2189.303,2228.091,2267.921,2309.905,2353.879,2399.685,2444.987,2489.384,2536.506,2578.358,2620.205,2663.422,2705.644,2747.362,2789.922,2830.837,2916.323,2955.916,2993.781,3030.685,3066.828,3102.197,3137.256,3171.388,3204.894,3238.019,3270.175,3302.893,3335.842,3369.785,3403.869,3437.235,3470.728,3504.216,3538.677,3572.494,3604.14,3636.046,3667.917,3699.551,3730.933,3759.292,3787.935
