Population (Millions of people),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Costa Rica,2.302,2.372,2.443,2.514,2.588,2.666,2.746,2.824,2.901,2.977,3.051,3.122,3.191,3.275,3.373,3.47,3.565,3.657,3.747,3.838,3.81,3.953,4.022,4.086,4.152,4.215,4.279,4.34,4.404,4.469,4.554,4.613,4.673,4.733,4.793,4.851,4.909,4.966,5.024,5.083,5.142,5.202,5.262,5.323,5.385
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.517,4.81,4.73,4.624,4.524,4.453,4.494,4.572,4.501,4.554,4.381,4.305,4.305,4.306,4.439,4.442,4.44,4.436,4.434,4.429,4.418,4.28,4.268,4.256,4.238,4.204,4.174,4.125,4.096,4.067,4.039,4.011,3.983,3.955,3.927
Cyprus,0.509,0.515,0.521,0.528,0.535,0.541,0.548,0.554,0.559,0.568,0.579,0.595,0.611,0.626,0.639,0.645,0.656,0.666,0.675,0.683,0.69,0.698,0.706,0.714,0.723,0.733,0.744,0.758,0.776,0.797,0.819,0.84,0.862,0.866,0.858,0.847,0.848,0.855,0.864,0.87,0.875,0.88,0.886,0.891,0.897
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.333,10.321,10.309,10.299,10.29,10.278,10.232,10.201,10.193,10.195,10.199,10.224,10.254,10.343,10.426,10.462,10.487,10.505,10.516,10.512,10.538,10.554,10.579,10.593,10.606,10.619,10.632,10.644,10.653,10.657
Côte d'Ivoire,7.993,8.175,8.492,8.924,9.173,9.528,9.902,10.286,10.382,10.804,11.246,11.697,12.157,13.358,13.758,14.158,14.56,14.938,15.326,15.725,16.134,16.553,16.984,17.425,17.878,18.343,18.82,19.309,19.811,20.327,20.855,21.397,21.954,22.524,23.11,23.711,24.327,24.96,25.609,26.275,26.958,27.659,28.378,29.116,29.873
Denmark,5.122,5.124,5.119,5.116,5.112,5.111,5.116,5.125,5.129,5.13,5.135,5.146,5.162,5.181,5.197,5.216,5.251,5.275,5.295,5.314,5.33,5.349,5.368,5.384,5.398,5.411,5.427,5.447,5.476,5.511,5.535,5.561,5.581,5.603,5.627,5.66,5.707,5.749,5.781,5.825,5.87,5.913,5.957,6,6.043
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.484,0.498,0.512,0.526,0.541,0.556,0.571,0.587,0.604,0.621,0.638,0.656,0.674,0.693,0.713,0.733,0.753,0.774,0.796,0.818,0.841,0.865,0.889,0.914,0.939,0.966,0.993,1.02,1.049,1.078,1.109,1.14,1.172,1.204,1.238
Dominica,no data,0.074,0.074,0.073,0.073,0.073,0.072,0.072,0.072,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Dominican Republic,5.652,5.781,5.916,6.056,6.202,6.353,6.509,6.669,6.828,6.979,7.118,7.242,7.375,7.511,7.642,7.771,7.897,8.023,8.152,8.276,8.398,8.513,8.628,8.745,8.858,8.968,9.071,9.174,9.28,9.38,9.479,9.58,9.681,9.785,9.883,9.98,10.075,10.169,10.271,10.374,10.477,10.582,10.688,10.795,10.903
Ecuador,8.03,8.261,8.495,8.733,8.971,9.211,9.451,9.691,9.944,10.189,10.43,10.671,10.912,11.15,11.38,11.598,11.798,11.987,12.168,12.347,12.531,12.815,13.094,13.32,13.552,13.721,13.965,14.215,14.473,14.738,15.012,15.266,15.521,15.775,16.027,16.279,16.529,16.777,17.023,17.268,17.511,17.757,18.006,18.259,18.516
